sample_ID	ordered_no_long	long	ordered_no_vcf	SW_onedeglong	strata	lat_jitter
CAS178_KS	78	-94.90416718	1	ks_5	KS	39.9202614786464
CAS265A_KS	35	-97.99222565	2	ks_2	KS	39.26184575389115
CAS276_KS	56	-95.32550049	3	ks_4	KS	38.74219034112879
CAS277_KS	57	-95.32550049	4	ks_4	KS	38.419449313689526
CAS298_KS	48	-95.43659973	5	ks_4	KS	38.66807552220441
CAS299_KS	49	-95.43659973	6	ks_4	KS	38.61040468510199
F10526_KS	31	-98.6815	8	ks_2	KS	38.51876772723879
F10600_KS	44	-96.0378	9	ks_3	KS	38.57953787402907
F10601_KS	45	-96.0378	10	ks_3	KS	38.763540527525706
F10616_KS	82	-94.8244	11	ks_5	KS	38.45516894171417
F10797_KS	47	-95.4566	12	ks_4	KS	37.816835084158804
F10985_KS	73	-94.988	13	ks_5	KS	38.671578023898064
F10986_KS	74	-94.988	14	ks_5	KS	39.76077671116241
F10995_KS	54	-95.3863	15	ks_4	KS	39.02777402004582
F11004_KS	39	-96.7493	16	ks_3	KS	38.02098606639178
F11011_KS	40	-96.5936	17	ks_3	KS	38.19983843788437
F11072_KS	38	-96.8015	18	ks_3	KS	38.25343918156127
F11086_KS	58	-95.24	19	ks_4	KS	37.0027889391777
F11271_KS	28	-99.1041	20	ks_1	KS	38.575502254605645
F11333_KS	24	-99.2059	21	ks_1	KS	38.476191314338905
F11338_KS	14	-99.696	22	ks_1	KS	37.79844181998786
F11400_KS	6	-102.012	23	pure_gent	KS	38.03381701914214
F11512_KS	66	-95.1159	24	ks_4	KS	38.51987946395889
F11518_KS	11	-100.78	25	pure_gent	KS	37.29223503462373
F12268_KS	68	-95.0985	26	ks_4	KS	37.37678092212831
F12299_KS	29	-99.0218	27	ks_1	KS	38.549516025786055
F12492_KS	52	-95.412	28	ks_4	KS	38.95580869011992
F12501_KS	55	-95.3785	29	ks_4	KS	40.04451958770162
F12655_KS	10	-100.976	30	pure_gent	KS	36.94811554051727
F12786_KS	63	-95.166	31	ks_4	KS	38.83580699155283
F12850_KS	42	-96.0882	32	ks_3	KS	40.40310776488019
F12867_KS	16	-99.473	33	ks_1	KS	37.68599382777163
F12873_KS	27	-99.1522	34	ks_1	KS	37.79436762575902
F12878_KS	25	-99.1604	35	ks_1	KS	37.236093267810354
F12902_KS	33	-98.5551	36	ks_2	KS	39.45596067575376
F12910_KS	81	-94.8259	37	ks_5	KS	37.527034624424445
F13122_KS	43	-96.0404	38	ks_3	KS	38.93259087144858
F13514_KS	41	-96.0913	39	ks_3	KS	38.46345953799376
F13668_KS	22	-99.3109	40	ks_1	KS	39.04935391547096
F13946_KS	32	-98.5841	41	ks_2	KS	37.2009938725638
F14000_KS	9	-101.126	42	pure_gent	KS	36.92736301065937
F14488_KS	69	-95.0985	43	ks_4	KS	37.279458339225215
F14976_KS	59	-95.1879	44	ks_4	KS	37.97023162978946
F14992_KS	21	-99.3611	45	ks_1	KS	38.52712974321608
F15236_KS	60	-95.1879	46	ks_4	KS	40.06509247834219
F15710_KS	23	-99.2441	47	ks_1	KS	37.8201766710841
F15711_KS	12	-100.263	48	pure_gent	KS	39.853379923883
F16397_KS	75	-94.988	49	ks_5	KS	36.84094292217922
F16447_KS	20	-99.361962	50	ks_1	KS	37.646845853896956
F16634_KS	7	-101.344	51	pure_gent	KS	37.762538906844036
F16635_KS	8	-101.344	52	pure_gent	KS	38.03045366187939
F7627_KS	46	-95.8394	53	ks_4	KS	37.04233078882392
F7910_KS	26	-99.156	54	ks_1	KS	38.37318757333185
F7931_KS	72	-94.9945	55	ks_5	KS	39.95919187472663
F7991_KS	67	-95.1075	56	ks_4	KS	38.52407859728143
F8275_KS	15	-99.6225	59	ks_1	KS	39.000574185354836
F8310_KS	83	-94.7813	60	ks_5	KS	38.0455279555227
F8333_KS	61	-95.1812	61	ks_4	KS	41.106154853547714
F8348_KS	62	-95.1704	62	ks_4	KS	40.475659083275936
F8351_KS	70	-95.0882	63	ks_4	KS	40.0483060031671
F8447_KS	34	-98.1604	64	ks_2	KS	38.17217438688611
F8496_KS	13	-99.7452	65	ks_1	KS	39.68548698010815
F8549_KS	30	-98.8757	66	ks_2	KS	39.2928743432251
